,0,1
0,NOUVELLE FLORE ,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
1,451,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
2,Sous-famille des,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
3, PARONYCHIOIDEAE,"Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000"
4,Feuilles habituellement stipulées. Sépales libres ou faiblement concrescents.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5,Corolle le plus souvent absente.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
6,"PTERANTHUS Forsk. — Herbe annuelle, charnue, à feuilles opposées, fas-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7,"ciculifères, ce qui les rend pseudo-verticillées. Cymes","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
8, biflores,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
9, portés par un pédon-,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
10,"cule commun accrescent, large, oblong, aplati et tombant avec lui. Fleurs sessiles,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
11,"latérales. Calice 4-partite à sépales oblongs-linéaires, prolongés par un appendice","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
12,vertical scarieux-marginé. 4 étamines. Pas de corolle.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
13,Pteranthus,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
14, dichotomus,"Font: 'Times-Bold' (serifed, proportional, bold), size 11, color #000000"
15, Forsk. —,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
16, P. echinatus,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
17, Desf.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
18, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000"
19," CLV, n. 1). —","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
20,"0. Tige très rameuse à la base, couchée ou ascendante, 10-40 cm. triangulaires,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
21,"plus ou moins dentées, opposées et fasciculifères, les feuilles des fascicules plus courtes","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
22,"et plus fines. Pédoncules floraux aux aisselles des feuilles supérieures, papilleux,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
23,"hirsutes, d'abord cylindriques, mais se développant rapidement en une sorte de","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
24,"raquette ovale, atténuée à la base. Fleurs sessiles, à 4 sépales, prolongés par un","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
25,"appendice scarieux, lui-même terminé par une courte épine, et entourées de rameaux","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
26,"stériles armés de plusieurs épines, les égalant sans les dépasser.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
27,Floraison: mars-mai. Régions arides.,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
28,S.,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
29, ,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000"
30,St.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000"
31, Palmyre,"Font: 'Times-Roman' (serifed, proportional), size 9, color #000000"
32," (Sam, Mt, Pb), Palmyre à Arak,","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
33, Bir-al-'Alaniyé,"Font: 'Times-Roman' (serifed, proportional), size 9, color #000000"
34," (Pb),","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
35, Jabal-et-Tenf,"Font: 'Times-Roman' (serifed, proportional), size 9, color #000000"
36, (Bb).,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
37,Sud.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000"
38, Hammé,"Font: 'Times-Roman' (serifed, proportional), size 9, color #000000"
39, (Pb).,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
40,"Aire géogr. —• Afrique du Nord,","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
41," Egypte,","Font: 'Times-Roman' (serifed, proportional), size 8.9538, color #000000"
42," Ethiopie,","Font: 'Times-Roman' (serifed, proportional), size 8.9614, color #000000"
43," Chypre, Palestine sud,","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
44," TransJordanie,","Font: 'Times-Roman' (serifed, proportional), size 8.97693, color #000000"
45," Syrie,","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
46,"Iraq, Iran, Géorgie.","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
47,"SCLERANTHUS L. — Herbes de petite taille, à feuilles linéaires-sétacées.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
48,"Calice à tube urcéolé, à la fin durci. 5 sépales mutiques. Pétales filiformes, parfois","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
49,"avortés. Étamines 5. Ovaire libre. Styles 2, distincts.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
50,"Calice de très petite taille, 2 mm. seulement à sépales courts et un peu marginés","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
51,S.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000"
52, collinus,"Font: 'Times-Italic' (italic, serifed, proportional), size 9, color #000000"
