,Family,GenusDescription,Genus,epithet,author,syn.,Plate,description,FloraisonStart,FloraisonEnd,FloraisonNotes,L.,S.,Aire géogr.,Notes
0,0,0,0,0,0,0,0,0,mars,juin.,Lieux cultivés et terrains vagues.,0,0,0,0
1,0,0,Urtica,membranacea,0,0,0,0,janvier,mai.,Cultures et terrains vagues.,0,0,0,0
2,0,0,Urtica,pilulifera,0,0,0,0,mars,juin.,décombres.,0,0,0,0
3,0,0,Urtica,dioica,0,0,0,0,0,0,0,0,0,0,0
4,0,0,Urtica,fragilis,0,0,0,0,janvier,"mai,",très localisée.,0,0,0,0
5,0,0,Parietaria,judaica,0,0,0,0,0,0,toute l'année.,0,0,0,0
6,0,0,Parietaria,eretica,0,0,0,0,mars,mai.,Rochers proches de la mer.,0,0,0,0
7,0,0,Parietaria,lusitanica,0,0,0,0,février,avril.,"Murs, rochers.",0,0,0,0
8,0,0,Parietaria, al,0,0,0,0,mars,mai.,"Régions sèches, sur rochers.",0,0,0,0
9,0,"CANNABIS L. — Herbes dressées, annuelles, dioïques, à feuilles digitées.Inflorescences latérales, les fleurs en cymes bipares, au sommet de la tige ou desrameaux, les fleurs isolées, enveloppées par leur bractée.",0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,Cannabis,sativa,0,0,0,0,0,0,0,0,0,0,0
11,0,"HUMULUS L. — Lianes herbacées, à tige volubile, à feuilles opposées, pal-matilobées ou indivises, dioïques. Inflorescence en panicules axillaires, lâches, in-florescence en cônes portés sur des rameaux courts.",0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,Humulus, lupulus,0,0,0,0,juin,août.,Aire,0,0,0,0
13,0,"OSYRIS L. — Arbrisseaux ou arbustes hémiparasites, verts, à feuilles alternes,entières. Fleurs dioïques ou hermaphrodites. Inflorescences formées de fausses om-belles. Bractées petites, caduques. Périanthe à 3-4 sépales, libres jusqu'au disque.Étamines plus courtes que les sépales. Ovaire infère. Drupe globuleuse ou ovée-globuleuse.",0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,Osyris,alba,0,0,0,0,mars,mai.,"Lieux boisés, haies, buissons.",0,0,0,0
15,0,"THESIUM L. — Herbes parfois suffrutescentes à la base, hémiparasites, àfeuilles alternes, linéaires. Inflorescence en épi, en grappe ou en panicule de cymes3-plurifores. Bractées parfois adnées au pédoncule. Bractéoles 2 sous les fleurs soli-taires ou les cymes, opposées, parfois nulles. Fleurs hermaphrodites. Périanthe àsépales (5, rarement 4) soudés à leur base, à 5 (rarement 4) étamines. Ovaire infère,uniloculàire. Akène couronné par le périanthe persistant, à péricarpe crustacé ouun peu induré, le tout constituant une nucule.",0,0,0,0,0,0,avril,juin.,0,0,0,0,0
16,0,0,Thesium,arvense,0,0,0,0,avril,juin.,Bois,0,0,0,0
17,0,0,Thesium, libanoticum,0,0,0,0,mai,juillet.,Rochers du haut Liban.,0,0,0,0
18,0,0,Thesium,heterophyllum,0,0,0,0,0,0,0,0,0,0,0
19,0,0,Thesium,humile,0,0,0,0,mars,juillet.,Cultures et pâturages.,0,0,0,0
20,0,0,Thesium,bergeri,0,0,0,0,avril,juin.,"Bois,",0,0,0,0
21,0,0,Cynomorium, coccineum,0,0,0,0,avril,juin.,salins.,0,0,0,0
22,0,"CYTINUS L. — Herbes colorées vivant sur des racines de plantes ligneuses.Tige florifère courte, simple, vêtue de squames colorées, alternes. Fleurs en grappespiciforme terminale, les fleurs à tube plein, à limbe campanule de 4-9 lobes, à8-10 anthères. Fleurs à ovaire infère et limbe semblable à celui des fleurs .",0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,Cytinus,hypocistis,0,0,0,0,mars,juin.,années.,0,0,0,0
24,0,0,Loranthus,europaeus,0,0,0,0,0,0,0,0,0,0,0
25,0,0,Viscum, album,0,0,0,0,0,0,0,0,0,0,0
26,0,0,Arceuthobium, oxycedri,0,0,0,0,juillet,septembre.,drupacea.,0,0,0,0
27,0,"ARISTOLOCHIA L. — Herbes vivaces ou lianes, rarement arbrisseaux.Feuilles parfois entières, parfois lobées, le plus souvent cordées à la base, l'échancruredessinant un sinus plus ou moins ouvert, entre deux lobes parfois plus longs quelarges. Pédoncules uniflores, axillaires, solitaires ou fascicules, ou en grappe courte.Périanthe plus ou moins coloré, zygomorphe, à ovaire infère suivi d'un tube géné-ralement recourbé en U, suivi d'un limbe entier ou, souvent, doté à sa base d'oreil-lettes plus ou moins distinctes et développées. Étamines 6 ou 4, adnées à un gynos-tème épais, lui-même divisé au sommet en 2-3 lobes stigmatifères. Capsule à 6 valves.",0,0,0,0,0,0,0,0,très,0,0,0,0
28,0,0,Aristolochia, parvifolia,0,0,0,0,0,0,0,0,0,0,0
29,0,0,Aristolochia, billardieri,0,0,0,0,mars,avril.,Forme,0,0,0,0
30,0,0,Aristolochia,poecilantha,0,0,0,0,avril,mai.,Lieux,0,0,0,0
31,0,0,Aristolochia, scabridula,0,0,0,0,février,mai.,Lieux pierreux.,0,0,0,0
32,0,0,Aristolochia, maurorum,0,0,0,0,mars,mai.,"Champs, vignes, cultures.",0,0,0,0
33,0,0,Aristolochia, bottae,0,0,0,0,mars,juin.,"Lieux boisés, jardins, vignes.",0,0,0,0
34,0,0,Rumex, angustifolius,0,0,0,0,avril,juin.,siliceux,0,0,0,0
35,0,0,Rumex, patientia,0,0,0,0,mars,juin.,"Terrains fertiles, bien arrosés.",0,0,0,0
36,0,0,Rumex,crispus,0,0,0,0,avril,juillet.,"Bois,",0,0,0,0
37,0,0,Rumex,conglomerates,0,0,0,0,février,mai.,"Lieux boisés ou herbus, surtout sablonneux.",0,0,0,0
38,0,0,Rumex, tuberosus,0,0,0,0,février,avril.,Sables littoraux.,0,0,0,0
39,0,0,Rumex,vesicarius,0,0,0,0,février,mai.,Lieux arides.,0,0,0,0
40,0,0,Rumex,cyprius,0,0,0,0,février,avril.,"Rochers, lieux arides.",0,0,0,0
41,0,0,Rumex, acetosella,0,0,0,0,avril,juillet.,"Jardins,",0,0,0,0
42,0,"POLYGONUM L. — Herbes annuelles, vivaces ou parfois sous-frutescentes.Feuilles alternes à ocréas tubuleuses, entières ou lacérées. Fleurs ordinairementfasciculées en fascicules axillaires, ou disposées en panicules spiciformes. Pédonculesfloraux articulés. Fleurs hermaphrodites ou parfois polygames par avortement.Périanthe profondément 4-5-lobé, ordinairement teinté de blanc ou de rose, àsépales subégaux, persistants, mais peu modifiés à la fructification. Étamines ordi-nairement 8 dans les fleurs à 5 sépales, 6 dans les fleurs à 4 sépales, insérées à labase. Filaments filiformes, parfois dilatés à la base. Ovaire comprimé ou trigone.Akène lenticulaire ou trigone.",0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,Polygonum, amphibium,0,0,0,0,0,0,0,0,0,0,0
44,0,0,Polygonum,salicifolium,0,0,0,0,0,0,Presque toute l'année. Bord des fossés et eaux douces.,0,0,0,0
45,0,0,Polygonum,hydropiper,0,0,0,0,juin,novembre.,Lieux,0,0,0,0
46,0,0,Polygonum, persicaria,0,0,0,0,juin,octobre.,Lieux,0,0,0,0
47,0,0,Polygonum, lapathifolium,0,0,0,0,juin,octobre.,"Cultures, lieux humides C.",0,0,0,0
48,0,0,Polygonum,polycnemoides,0,0,0,0,mai,septembre.,Montagnes.,0,0,0,0
49,0,0,Polygonum,corrigioloides,0,0,0,0,0,0,0,0,0,0,0
50,0,0,Polygonum,kitaibelianum,0,0,0,0,avril,juillet.,"Champs, cultures, pâturages.",0,0,0,0
51,0,0,Polygonum, argyrocoleum,0,0,0,0,avril,septembre.,"divers,",0,0,0,0
52,0,0,Polygonum, venantianum,0,0,0,0,avril,octobre.,"Terrains vagues, cultures, pâturages.",0,0,0,0
53,0,0,Polygonum,aviculare,0,0,0,0,avril,septembre.,toute l'année. Sables et graviers littoraux.,0,0,0,0
54,0,0,Polygonum,cognatum,0,0,0,0,avril,septembre.,Montagne,0,0,0,0
55,0,0,Polygonum,setosum,0,0,0,0,août,septembre.,0,0,0,0,0
56,0,0,Polygonum,libani,0,0,0,0,août,octobre.,très,0,0,0,0
57,0,0,Polygonum, cedrorum,0,0,0,0,0,0,0,0,0,0,0
