,0,1,2,3
0,genus,Urtica,membranacea,page 450 of document.pdf
1,genus,Urtica,pilulifera,page 450 of document.pdf
2,genus,Urtica,dioica,page 450 of document.pdf
3,genus,Urtica,fragilis,page 451 of document.pdf
4,genus,Parietaria,judaica,page 452 of document.pdf
5,genus,Parietaria,eretica,page 453 of document.pdf
6,genus,Parietaria,lusitanica,page 453 of document.pdf
7,genus,Parietaria, al,page 453 of document.pdf
8,"CANNABIS L. — Herbes dressées, annuelles, dioïques, à feuilles digitées.Inflorescences latérales, les fleurs en cymes bipares, au sommet de la tige ou desrameaux, les fleurs isolées, enveloppées par leur bractée.",page 454 of document.pdf,,
9,genus,Cannabis,sativa,page 454 of document.pdf
10,"HUMULUS L. — Lianes herbacées, à tige volubile, à feuilles opposées, pal-matilobées ou indivises, dioïques. Inflorescence en panicules axillaires, lâches, in-florescence en cônes portés sur des rameaux courts.",page 454 of document.pdf,,
11,genus,Humulus, lupulus,page 454 of document.pdf
12,"OSYRIS L. — Arbrisseaux ou arbustes hémiparasites, verts, à feuilles alternes,entières. Fleurs dioïques ou hermaphrodites. Inflorescences formées de fausses om-belles. Bractées petites, caduques. Périanthe à 3-4 sépales, libres jusqu'au disque.Étamines plus courtes que les sépales. Ovaire infère. Drupe globuleuse ou ovée-globuleuse.",page 455 of document.pdf,,
13,genus,Osyris,alba,page 455 of document.pdf
14,"THESIUM L. — Herbes parfois suffrutescentes à la base, hémiparasites, àfeuilles alternes, linéaires. Inflorescence en épi, en grappe ou en panicule de cymes3-plurifores. Bractées parfois adnées au pédoncule. Bractéoles 2 sous les fleurs soli-taires ou les cymes, opposées, parfois nulles. Fleurs hermaphrodites. Périanthe àsépales (5, rarement 4) soudés à leur base, à 5 (rarement 4) étamines. Ovaire infère,uniloculàire. Akène couronné par le périanthe persistant, à péricarpe crustacé ouun peu induré, le tout constituant une nucule.",page 455 of document.pdf,,
15,genus,Thesium,arvense,page 456 of document.pdf
16,genus,Thesium, libanoticum,page 456 of document.pdf
17,genus,Thesium,heterophyllum,page 457 of document.pdf
18,genus,Thesium,humile,page 457 of document.pdf
19,genus,Thesium,bergeri,page 457 of document.pdf
20,genus,Cynomorium, coccineum,page 458 of document.pdf
21,"CYTINUS L. — Herbes colorées vivant sur des racines de plantes ligneuses.Tige florifère courte, simple, vêtue de squames colorées, alternes. Fleurs en grappespiciforme terminale, les fleurs à tube plein, à limbe campanule de 4-9 lobes, à8-10 anthères. Fleurs à ovaire infère et limbe semblable à celui des fleurs .",page 458 of document.pdf,,
22,genus,Cytinus,hypocistis,page 458 of document.pdf
23,genus,Loranthus,europaeus,page 459 of document.pdf
24,genus,Viscum, album,page 459 of document.pdf
25,genus,Arceuthobium, oxycedri,page 460 of document.pdf
26,"ARISTOLOCHIA L. — Herbes vivaces ou lianes, rarement arbrisseaux.Feuilles parfois entières, parfois lobées, le plus souvent cordées à la base, l'échancruredessinant un sinus plus ou moins ouvert, entre deux lobes parfois plus longs quelarges. Pédoncules uniflores, axillaires, solitaires ou fascicules, ou en grappe courte.Périanthe plus ou moins coloré, zygomorphe, à ovaire infère suivi d'un tube géné-ralement recourbé en U, suivi d'un limbe entier ou, souvent, doté à sa base d'oreil-lettes plus ou moins distinctes et développées. Étamines 6 ou 4, adnées à un gynos-tème épais, lui-même divisé au sommet en 2-3 lobes stigmatifères. Capsule à 6 valves.",page 460 of document.pdf,,
27,genus,Aristolochia, parvifolia,page 462 of document.pdf
28,genus,Aristolochia, billardieri,page 462 of document.pdf
29,genus,Aristolochia,poecilantha,page 463 of document.pdf
30,genus,Aristolochia, scabridula,page 463 of document.pdf
31,genus,Aristolochia, maurorum,page 463 of document.pdf
32,genus,Aristolochia, bottae,page 464 of document.pdf
33,genus,Rumex, angustifolius,page 466 of document.pdf
34,genus,Rumex, patientia,page 466 of document.pdf
35,genus,Rumex,crispus,page 467 of document.pdf
36,genus,Rumex,conglomerates,page 467 of document.pdf
37,genus,Rumex, tuberosus,page 471 of document.pdf
38,genus,Rumex,vesicarius,page 472 of document.pdf
39,genus,Rumex,cyprius,page 472 of document.pdf
40,genus,Rumex, acetosella,page 472 of document.pdf
41,"POLYGONUM L. — Herbes annuelles, vivaces ou parfois sous-frutescentes.Feuilles alternes à ocréas tubuleuses, entières ou lacérées. Fleurs ordinairementfasciculées en fascicules axillaires, ou disposées en panicules spiciformes. Pédonculesfloraux articulés. Fleurs hermaphrodites ou parfois polygames par avortement.Périanthe profondément 4-5-lobé, ordinairement teinté de blanc ou de rose, àsépales subégaux, persistants, mais peu modifiés à la fructification. Étamines ordi-nairement 8 dans les fleurs à 5 sépales, 6 dans les fleurs à 4 sépales, insérées à labase. Filaments filiformes, parfois dilatés à la base. Ovaire comprimé ou trigone.Akène lenticulaire ou trigone.",page 473 of document.pdf,,
42,genus,Polygonum, amphibium,page 475 of document.pdf
43,genus,Polygonum,salicifolium,page 475 of document.pdf
44,genus,Polygonum,hydropiper,page 475 of document.pdf
45,genus,Polygonum, persicaria,page 476 of document.pdf
46,genus,Polygonum, lapathifolium,page 476 of document.pdf
47,genus,Polygonum,polycnemoides,page 477 of document.pdf
48,genus,Polygonum,corrigioloides,page 477 of document.pdf
49,genus,Polygonum,kitaibelianum,page 477 of document.pdf
50,genus,Polygonum, argyrocoleum,page 478 of document.pdf
51,genus,Polygonum, venantianum,page 478 of document.pdf
52,genus,Polygonum,aviculare,page 478 of document.pdf
53,genus,Polygonum,cognatum,page 480 of document.pdf
54,genus,Polygonum,setosum,page 480 of document.pdf
55,genus,Polygonum,libani,page 480 of document.pdf
56,genus,Polygonum, cedrorum,page 481 of document.pdf
