,page,text,face,h1,h2
0,450,NOUVELLE FLORE ,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",19.122976303100586,31.12897491455078
1,450,373,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",19.122976303100586,31.12897491455078
2,450,t,"Font: 'Helvetica-Bold' (sans, proportional, bold), size 3.96942, color #000000",37.408939361572266,44.295318603515625
3,450,que les feuilles. Fleurs ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",41.25702667236328,55.931026458740234
4,450,et ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",41.25702667236328,55.931026458740234
5,450,mêlées dans toutes ces inflorescences. Sépales vert-,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",41.25702667236328,55.931026458740234
6,450,"clair, à quelques poils irritants. Une forme","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",52.77698516845703,67.45098876953125
7,450, (iners,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000",53.89898681640625,67.32998657226562
8,450, (Forsk.),"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",52.77698516845703,67.45098876953125
9,450, Weddellin,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000",52.77698516845703,67.45098876953125
10,450," D.C.), connue","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",52.77698516845703,67.45098876953125
11,450,en,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",64.29700469970703,78.97100830078125
12,450, Egypte,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000",64.29700469970703,78.97100830078125
13,450," et vers le Sahara, n'a pas de poils irritants. Malgré son nom, cette espèce","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",64.29700469970703,78.97100830078125
14,450,"est d'ailleurs, ainsi que","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",75.81702423095703,90.49102783203125
15,450," membranacea,","Font: 'Times-Italic' (italic, serifed, proportional), size 10.9942, color #000000",76.93902587890625,90.37002563476562
16,450, relativement peu urticante.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",75.81702423095703,90.49102783203125
17,450,Floraison: mars-juin. Lieux cultivés et terrains vagues.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",89.82998657226562,103.16998291015625
18,450,L.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",101.58999633789062,114.92999267578125
19,450, Ct.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",102.60999298095703,114.81999206542969
20,450," Ras Bayada (Pb), Beyrouth et environs (P, Vt, Np, Mt, Th), Tripoli","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",101.58999633789062,114.92999267578125
21,450, (Bl).,"Font: 'Times-Roman' (serifed, proportional), size 9.87193, color #000000",101.58999633789062,114.92999267578125
22,450,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",113.35000610351562,126.69000244140625
23,450, Mi.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",114.37000274658203,126.58000183105469
24,450, Massiaf (P).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",113.35000610351562,126.69000244140625
25,450, Sy.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",114.37000274658203,126.58000183105469
26,450, Alep,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000",113.35000610351562,126.69000244140625
27,450," (JL),","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",113.35000610351562,126.69000244140625
28,450, Homs,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000",113.35000610351562,126.69000244140625
29,450," (P, Pb).","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",113.35000610351562,126.69000244140625
30,450, Dam.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",114.37000274658203,126.58000183105469
31,450, Damas (Pb).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",113.35000610351562,126.69000244140625
32,450, St.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",114.37000274658203,126.58000183105469
33,450," 'Aqerbat (Bl),","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",113.35000610351562,126.69000244140625
34,450,"Ressafa,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",122.70999145507812,136.04998779296875
35,450, El-Qpum,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000",122.70999145507812,136.04998779296875
36,450, (Pb).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",122.70999145507812,136.04998779296875
37,450,"Aire géogr. — Europe, tour de la Méditerranée, Asie antérieure.","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",134.47000122070312,147.80999755859375
38,450,Urtica membranacea,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000",151.03599548339844,166.27099609375
39,450, Poiret 1797 —•,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",150.93698120117188,165.61099243164062
40,450, U. caudata,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000",152.05899047851562,165.489990234375
41,450, Vahl,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000",150.93698120117188,165.61099243164062
42,450," 1791, non Burm. 1768","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",150.93698120117188,165.61099243164062
43,450,(PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000",162.45700073242188,177.13101196289062
44,450," CXXII,","Font: 'Times-Roman' (serifed, proportional), size 10.9524, color #000000",162.45700073242188,177.13101196289062
45,450," n. 3). — 0. Tige dressée, 10-120 cm., quadrangulaire, lâchement","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",162.45700073242188,177.13101196289062
46,450,"hérissée de poils, à feuilles ovales plus ou moins tronquées à la base, fortement","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",173.97698974609375,188.6510009765625
