,Family,GenusDescription,Genus,epithet,author,syn.,Plate,description,FloraisonStart,FloraisonEnd,FloraisonNotes,L.,S.,Aire géogr.,Notes
0,0,0,0,0,0,0,0,0,mars,juin,Lieux cultivés et terrains vagues.,"L. Ct. Ras Bayada (Pb), Beyrouth et environs (P, Vt, Np, Mt, Th), Tripoli (Bl).","S. Mi. Massiaf (P). Sy. Alep (JL), Homs (P, Pb). Dam. Damas (Pb). St. 'Aqerbat (Bl),Ressafa, El-Qpum (Pb).",0,0
1,0,0,Urtica,membranacea,0,0,0,0,janvier,mai,Cultures et terrains vagues.,"L. Ct. Saïda (Bl), Khaldé (Gb), Beyrouth (Bl, P, Vt, Gb, Mt, Np, Pb), Tripoli (Bl, P).",0,0,0
2,0,0,Urtica,pilulifera,0,0,0,0,mars,juin, décombres.,"L. Ct. Saïda (Gaill, Bl), Beyrouth (P, Mt), Tripoli (Bl). Mi. Ba'abda (Mt), Broummana(Bl). Herm. Rachaya (Berton). St. Qa'a (Pb).","S. Ct. Banias (P). Sy. Alep (JL), 'Aïn Delfi (Gb). Dam. Jab. Qasyoun (Pb). Sud. Fiq (Pb).St. Khan Abou Chamate (Gb), Resafa (Pb).",0,0
3,0,0,Urtica,dioica,0,0,0,0,0,0,0,"L. Ct. Tripoli (Bl). Mi. Broummana (Bl), Faraya (Mt). Mm. Cèdres (JL), Hadeth, Dimaneà Hasroun (Bl), Jab. Kneissé (Mt). Me. Dolines du Jab. Sannine (Mt), Ouadi Safsaf (P). Met.Qabbélias, Ouadi-el-'Arayech, Jdita (Mt).","S. Dam. Ghouta (Bl, Pb).",0,0
4,0,0,Urtica,fragilis,0,0,0,0,janvier,mai,très localisée.,"L. Mi. Mohrab, entre Ghosta et Dlepta (Th, Gb, Mt, Pb). Mgheiré, olim (Bl).",S. Mm. Slenfé (Sam).,0,0
5,0,0,Parietaria,judaica,0,0,0,0,0,0,toute l'année.,"L. Ct. Nahr Aouali (Bl), Nahr Damour (Mt), Beyrouth (nombreux collecteurs), Nahr-el-Kelb (Pb), Tripoli (Bl). Mi. 'Araya (Mt), Qrayé (Np), 'Abey (P). Sud. Qala'at-ech-Choukif (P).Mm. Cèdres, Dimane-Hasroun, Dimane, Bcharré (Bl), Neba'-l-Laban (Gb). Met. Ksara (Pb).Sy. Baalbeck, Fakié (Mt, var. brevipetiolata). Herm. Joubb Jennin (Gb).","S. A.L. Zebdani (Gb), Ouadi-el-Qarn (Pb), Souq Ouadi Barada (Mt), Ma'loula, Madaya(Pb), Yabroud (Mt, Pb). Haur. Dera'a (Mt). J.D. Soueida (Mt).",0,0
6,0,0,Parietaria,eretica,0,0,0,0,mars,mai,Rochers proches de la mer.,"L. Ctlitt. Hanouche au sud de Chekka, sud de Jbail sur la grève (Mt), Ile Nakhl au largede Tripoli (Gb).","S. Ctlitt. Jeblé (Pb), Lattaquié (Mt).",0,0
7,0,0,Parietaria,lusitanica,0,0,0,0,février,avril,"Murs, rochers.","L. Ct. Beyrouth (Bl, P, Mt, Pb), Jounié (Pb), Tripoli (Bl). Mi. 'Amchite (Mt), Jab. Terbol(P), Qrayé (Np), Ras Chekka-Hamate, Harajel (Sam).","S. Ct. Tartous (Pb). NLatt. Kessab (Pb). Sy. Jab. Sema'ane (Har), Tell 'Aqibrin (Wall).",0,0
8,0,0,Parietaria, al,0,0,0,0,mars,mai,"Régions sèches, sur rochers.","L. Sy. Baalbeck, dans les ruines (Sam).","S. Sy. Abou Douhour (Har), Alep (Ky). A.L. Yabroud (Pb). Sud. Hammé (Pb). J.D. TellHadid (Mt). St. Khan Abou Chamate (Gb), Palmyre (Bl, P, Nik, Mt, Pb).",0,0
9,0,"CANNABIS L. — Herbes dressées, annuelles, dioïques, à feuilles digitées.Inflorescences latérales, les fleurs en cymes bipares, au sommet de la tige ou desrameaux, les fleurs isolées, enveloppées par leur bractée.",0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,Cannabis,sativa,0,0,0,0,0,0,0,0,0,0,0
11,0,"HUMULUS L. — Lianes herbacées, à tige volubile, à feuilles opposées, pal-matilobées ou indivises, dioïques. Inflorescence en panicules axillaires, lâches, in-florescence en cônes portés sur des rameaux courts.",0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,Humulus, lupulus,0,0,0,0,juin,août,"à l'appui, d'une présence de cette espèce à Beyrouth.",0,0,0,0
13,0,"OSYRIS L. — Arbrisseaux ou arbustes hémiparasites, verts, à feuilles alternes,entières. Fleurs dioïques ou hermaphrodites. Inflorescences formées de fausses om-belles. Bractées petites, caduques. Périanthe à 3-4 sépales, libres jusqu'au disque.Étamines plus courtes que les sépales. Ovaire infère. Drupe globuleuse ou ovée-globuleuse.",0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,Osyris,alba,0,0,0,0,mars,mai,"Lieux boisés, haies, buissons.","L. Ct. Beyrouth (Bl, Vt), Nahr-el-Kelb (Sam, Bl, Pb), Tripoli (Bl). Mi. Ma'asser (P), 'Aley(Mt), Kahalé (Gb), Jamhour (Pb), au-dessus de Choueifat (Mt), Beit Méri (Np, Mt), Dar-es-Salib(Mt), Bikfaya (Vt, Mt, Pb), Dhour Choueir (JL), Ras-el-Meten (Gb), 'Antoura (Pb), Ras Chekka-Hamate (Wall), Jab. Terbol (P). Mm. Mayrouba (Sam). Ve. 'Ana (Mt). Hem. Rachaya (Berton),vers Hasbaya (Mt).","S. NLatt. S. de Kessab (P). Mi. Bhamra (Har). Sy. Eriha (JL), Jab. Sema'ane (Har).K.D. Kurd Dagh (Gb, JL).",0,0
