,text,face
0,NOUVELLE FLORE ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
1,373,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
2,t,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
3,que les feuilles. Fleurs ,"Font: 'Helvetica-Bold' (sans, proportional, bold), size 3.96942, color #000000"
4,et ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5,mêlées dans toutes ces inflorescences. Sépales vert-,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
6,"clair, à quelques poils irritants. Une forme","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7, (iners,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
8, (Forsk.),"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
9, Weddellin,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
10," D.C.), connue","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
11,en,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
12, Egypte,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
13," et vers le Sahara, n'a pas de poils irritants. Malgré son nom, cette espèce","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
14,"est d'ailleurs, ainsi que","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
15," membranacea,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
16, relativement peu urticante.,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9942, color #000000"
17,Floraison: mars-juin. Lieux cultivés et terrains vagues.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
18,L.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
19, Ct.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
20," Ras Bayada (Pb), Beyrouth et environs (P, Vt, Np, Mt, Th), Tripoli","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
21, (Bl).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
22,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.87193, color #000000"
23, Mi.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
24, Massiaf (P).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
25, Sy.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
26, Alep,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
27," (JL),","Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
28, Homs,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
29," (P, Pb).","Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
30, Dam.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
31, Damas (Pb).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
32, St.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
33," 'Aqerbat (Bl),","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
34,"Ressafa,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
35, El-Qpum,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
36, (Pb).,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
37,"Aire géogr. — Europe, tour de la Méditerranée, Asie antérieure.","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
38,Urtica membranacea,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
39, Poiret 1797 —•,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
40, U. caudata,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
41, Vahl,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
42," 1791, non Burm. 1768","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
43,(PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
44," CXXII,","Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000"
45," n. 3). — 0. Tige dressée, 10-120 cm., quadrangulaire, lâchement","Font: 'Times-Roman' (serifed, proportional), size 10.9524, color #000000"
46,"hérissée de poils, à feuilles ovales plus ou moins tronquées à la base, fortement","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
47,"dentées, à poils urticants épars et pétiole à peu près aussi long que le limbe. Inflo-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
48,rescences,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
49, ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
50,plus,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
51," longues que les feuilles, à axe aplati, étalées ou penchées, très","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
52,"étroites, géminées, pédonculées, pouvant atteindre 15 cm. Fleurs à sépales ovés,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
53,parfois teintées de pourpre. Inflorescences ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
54,"plus courtes, en","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
55, glomérules.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
56,Floraison: janvier-mai. Cultures et terrains vagues.,"Font: 'Times-Roman' (serifed, proportional), size 10.9566, color #000000"
57,L.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
58, Ct.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
59," Saïda (Bl), Khaldé (Gb), Beyrouth (Bl, P, Vt, Gb, Mt, Np, Pb), Tripoli (Bl, P).","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
60,Aire géogr. —• Côtes de la Méditerranée.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
61,Urtica pilulifera,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
62, L.,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
63, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
64," CXXIII, n. 2). — ®. Tige 20 cm. à 2 m., cou-","Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000"
65,"verte de poils urticants épars, quadrangulaire, rameuse, dressée. Feuilles ovales","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
66,"jusqu'à 12 cm. de long, cordées ou tronquées à la base, à marge profondément","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
67,"dentée par des dents à pointe aiguë, à poils urticants épars. Inflorescences ","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
68,pani-,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
69,"culiformes, géminées à l'aisselle des feuilles supérieures, dressées, rameuses, lâches,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
70,"à fleurs groupées en petits glomérules, portant quelques poils urticants. Inflores-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
71,cence ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
72,"en glomérules solitaires ou géminés, brièvement ou longuement","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
73," pédoncules,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
74,"3-5 mm. à l'anthèse, 10-12 mm. à maturité. Sépales verts, ovales, inégaux, densé-","Font: 'Times-Roman' (serifed, proportional), size 10.9571, color #000000"
75,ment hérissés de poils urticants.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
76,Floraison:,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
77," mars-juin. Haies,","Font: 'Times-Roman' (serifed, proportional), size 9.9934, color #000000"
78, décombres.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
79,L.,"Font: 'Times-Roman' (serifed, proportional), size 9.95952, color #000000"
80, Ct.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
81, Saïda,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
82," (Gaill,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
83," Bl), Beyrouth (P, Mt), Tripoli (Bl).","Font: 'Times-Roman' (serifed, proportional), size 9.95706, color #000000"
84, Mi.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
85," Ba'abda (Mt), Broummana","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
86,(Bl).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
87, Herm.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
88, Rachaya (Berton).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.90954, color #000000"
89, St.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
90, Qa'a (Pb).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
91,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
92, Ct.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
93, Banias (P).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
94, Sy.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
95," Alep (JL), 'Aïn","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
96, Delfi,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
97, (Gb).,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
98, Dam.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
99, Jab.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
100, Qasyoun,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
101, (Pb).,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
102, Sud.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
103, Fiq (Pb).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
104,St.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
105," Khan Abou Chamate (Gb), Resafa (Pb).","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
106,"Aire géogr. — Europe, Méditerranée, Asie antérieure.","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
107,Urtica dioica,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
108, L.,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
109, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
110," CXXIII, n. 1). —","Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000"
111, 2J..,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
112," Dioïque, ou parfois monoïque.","Font: 'Times-Roman' (serifed, proportional), size 10.9628, color #000000"
113,"Rhizome court, rampant, plus ou moins ligneux. Tige dressée, d'un vert foncé,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
114,"ainsi que le feuillage, 15 cm. à","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
115, 1,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
116, ,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
117,"m., quadrangulaire, simple ou peu rameuse.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
118,"Feuilles oblongues ou oblongues-lancéolées, 4-10 cm. de long, fortement dentées.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
119,"Dents ovales, aiguës, peu inégales. Inflorescences géminées à l'aisselle des feuilles","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
120,"paniculiformes, à rameaux latéraux courts dans les inflorescences , plus longs dans","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
121,les inflorescences ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
122,"ou androgynes, étalées-dressées ou pendantes, à fleurs fasciculées","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
123,en fascicules serrés ou un peu distants. Fleurs ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
124,"à 4 sépales égaux, pubescents, ovales,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
125,obtus. Fleurs ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
126,"à 4 sépales inégaux, les internes ordinairement plus longs.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
