,page,text,face
0,0,NOUVELLE FLORE ,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
1,0,373,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
2,0,t,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
3,0,que les feuilles. Fleurs ,"Font: 'Helvetica-Bold' (sans, proportional, bold), size 3.96942, color #000000"
4,0,et ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
5,0,mêlées dans toutes ces inflorescences. Sépales vert-,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
6,0,"clair, à quelques poils irritants. Une forme","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7,0, (iners,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
8,0, (Forsk.),"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
9,0, Weddellin,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
10,0," D.C.), connue","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
11,0,en,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
12,0, Egypte,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
13,0," et vers le Sahara, n'a pas de poils irritants. Malgré son nom, cette espèce","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
14,0,"est d'ailleurs, ainsi que","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
15,0," membranacea,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
16,0, relativement peu urticante.,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9942, color #000000"
17,0,Floraison: mars-juin. Lieux cultivés et terrains vagues.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
18,0,L.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
19,0, Ct.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
20,0," Ras Bayada (Pb), Beyrouth et environs (P, Vt, Np, Mt, Th), Tripoli","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
21,0, (Bl).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
22,0,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.87193, color #000000"
23,0, Mi.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
24,0, Massiaf (P).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
25,0, Sy.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
26,0, Alep,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
27,0," (JL),","Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
28,0, Homs,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
29,0," (P, Pb).","Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
30,0, Dam.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
31,0, Damas (Pb).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
32,0, St.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
33,0," 'Aqerbat (Bl),","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
34,0,"Ressafa,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
35,0, El-Qpum,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
36,0, (Pb).,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
37,0,"Aire géogr. — Europe, tour de la Méditerranée, Asie antérieure.","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
38,0,Urtica membranacea,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
39,0, Poiret 1797 —•,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
40,0, U. caudata,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
41,0, Vahl,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
42,0," 1791, non Burm. 1768","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
43,0,(PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
44,0," CXXII,","Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000"
45,0," n. 3). — 0. Tige dressée, 10-120 cm., quadrangulaire, lâchement","Font: 'Times-Roman' (serifed, proportional), size 10.9524, color #000000"
46,0,"hérissée de poils, à feuilles ovales plus ou moins tronquées à la base, fortement","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
47,0,"dentées, à poils urticants épars et pétiole à peu près aussi long que le limbe. Inflo-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
48,0,rescences,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
49,0, ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
50,0,plus,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
51,0," longues que les feuilles, à axe aplati, étalées ou penchées, très","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
52,0,"étroites, géminées, pédonculées, pouvant atteindre 15 cm. Fleurs à sépales ovés,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
53,0,parfois teintées de pourpre. Inflorescences ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
54,0,"plus courtes, en","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
55,0, glomérules.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
