,Family,GenusDescription,Genus,epithet,author,syn.,Plate,description,FloraisonStart,FloraisonEnd,FloraisonNotes,L.,S.,Aire géogr.,Notes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,Berbéris,libanotica,0,0,0,0,mai,juin, lobes,0,0,0,0
2,0,0,Bongardia,chrysogonum,0,0,0,0,février,avril, (Sam).,0,0,"Aire géogr. — Iles de i'Égée, ' Turquie d'Asie, Caucase, Iraq, Iran, Afghanistan, Pakistan.",0
3,0,LEONTICE L. — Plante herbacée à rhizome épais et tige feuiilée.,0,0,0,0,0,0,0,0,0,0,0,"Aire géogr. — L'espèce: Italie mér., Grèce»i Chypre, Turquie, Arménie, Iraq. La sous-tspèce: Syrie désertique, TransJordanie, Iraq, Iran.Famille souvent rattachée aux Ranuncuïaceae, ou encore aux Berberidaceae.ou subdivisées. Fleurs grandes, 6-14 cm. de diamètre, à pétales blancs, roses ouFleurs d'un rouge-pourpre foncé. Carpelles presque toujours pubescents ou même tomenteux,au nombre de 2 ou plus, à peine stipitésPaeonia mascula (L.) Mill.Fleurs roses. Carpelles glabres, nettement stipités, au nombre de 2 seulementPaeonia kesrouanensis Thiéb.",0
4,0,0,Paeonia,mascula,0,0,0,0,mars,avril,Boisements.,"L. Mi. Ma'asser (P), Feitroun (JL, Vt, Mt), Mayrouba (Np), Rayfoun (P). Mm. 'Aqoura(JL), Sannine (Vt), Mazra'at Kfar Debiane (Moubarak), Qamou'a (Sam, Hafstr). 'Akkar.«Akkar (Np).","S. Mi, Mm. Jaoubat Bourghal (Pb), Slenfé et environs (JL, Pb, Mt), Col de Nebi Younès(Sam, Hafstr). NLatt. Kessab (P), 'Aïn Haramiyé (Mt).","Aire géogr. — Europe moyenne et méridionale, Taurus, Amanus, Cassius, Arménie, Iran.",0
5,0,0,Paeonia,kesrouanensis,0,0,0,0,mars,avril,(Mt).,0,0,"Aire géogr. — Trouvée aussi, d'après DAVIS, au Yaila Dagh près d'Antioche, et d'aprèsRECHINGER, dans la même région, vers Cheikh Keui, un peu au N. de la frontière syro-turque.Plantes ordinairement herbacées, rarement ligneuses. Feuilles non stipulées, lenée, pourvues ou non de deux enveloppes florales. Sépales souvent pétaloïdes.Étamines libres, ordinairement très nsrnbreuses et en nombre indéterminé. Anthèresactinomorphes, ordinairement d'assez forte taille. Sépales 5, pétaloïdes, persistants,nombreuses. Carpelles 3-10, libres ou un peu concrescents à la base, style persistant.",0
6,0,0,Helleborus,vesicarius,0,0,0,0,0,0,dessus de Kessab (P).,0,0,"Aire géogr. — Montagnes de la Turquie d'Asie, Amanus, Cassius.minales, solitaires. Sépales 5, ordinairement onguiculés (sauf sous-genre Garidella),pétaloïdes. Pétales toujours onguiculés^ nectarifères, bilabiés, à lèvre inférieureplus ou moins longuement, pluriovulés» Étamines à anthères apiculées par unprolongement du connectif, plus ou moins longuement. Fruits constitués par desGaridella, long et plus ou moins fortement innervé dans le reste du genre. CorpsSépales et pétales dressés; sépales plus courts que les'pétales, non onguiculés. Follicules ter-minés par un bec très courtSous-genre GaridellaFleurs d'un brun jaunâtre. Pétales bien plus l»ngs que les sépales, à onglet filiforme etlimbe très réduit. Follicules lisses, dilatés, subsphériques, à bec presque nulN. unguicularis (Lam.) Spenn.Sépales et pétales étalés. Sépales plus ou moins onguiculés, plus longs que les pétales. Folliculesprolongés par un rostre les égalant ou les dépassant, plus ou moins divergentsNigella s. str.Fleurs bleues, ou blanc plus ou moins teinté de bleuFollicules 5-6, complètement unis en taie sorte de capsufe verruqueuse. Bec égalantà peine le reste de la pièceN. sativa L.Follicules distincts et plus ou moins divergentsSépales involucres par Ta paire de feuilles la plus élevée. Fruit formé d'une courtepartie séminifère, pentagonale, et d'une étoile de 5-rostres allongés, divergentsen angle droit. Feuilles disséquées en lanières filiformes,N. stellar is Boiss,Sépales non involucres par les feuilles les plus élevées, d'un blanc bleuâtre àl'état frais, de dimensions réduites ou médiocres. Races diverses, discernablespar des caractères de détailN, arvensis L.Connectif des anthères dépassant à peine les loges. Lèvre inférieure despétales assez brièvement bilabiée. Follicules 4-5, moyennement divergents,à 3 nervures dorsales, sans ébauche de 2 autres, plus ou moins fortementtubercules sur toute leur surface. Sables côtiersvar. mutica (Bnm) n. c.Connectif légèrement plus long. Feuilles plus ou moins développées, à lobesfiliformes ou brièvement linéaires. Pétales à lèvre inférieure longuementbîlabiée. Follicules 3 ou davantage, peu divergents, lissesvar. caudata Boiss.Connectif plus allongé. Feuilles ordinairement du moins à lobes courts.Fleur plus réduite que celle des variétés précédentes. Follicules 3, lisses,divergentsvar. tmcrocarpa Boiss.Connectif des anthères dépassant un peu les loges. 'Lèvre inférieure despétales longuement bilabiée. Feuilles divisées en lanières étroitesN. assyriaca Boiss.Fleurs jaunes, séparées ou proches des feuilles les plus élevées. Anthères nombreuses,brièvement apiculéesSépales et follicules glabresSépales jaunes, brièvement stipités. Feuilles divisées en lanières filiformes. Pétalesà lèvre inférieure brièvement bilabiée. Follicules unis sur une grande longueur,peu divergents, à 3 nervures un peu distantes et réunies par de nombreusesstries transversalesN. orientalis L.Sépales brièvement stipités, vert-jaunâtre, oblongs, un peu aigus. Pétales à lèvreinférieure longuement bilabiée, atteignant presque les étamines. Follicule sem-blable à celui de l'espèce précédente, mais à nervures plus rapprochées, nonréunies par des striesFleur involucrée. Feuilles à lobes étroitement linéairesN. oxypetala Boiss.Fleur non involucrée. Feuilles à lobes souvent plus largesN. latisecta DavisSépales et follicules pubescents xPétales brièvement appendiculés. Follicules jusqu'à 10, plus ou moins fortementdivergents. Feuilles à lanières aplaties, relativement largesN. ciliaris D.C./",0
7,0,0,Nigella, imguicularis,0,0,0,0,avril,mai, degrades.,"L. Ct. Saida (Bl, Pb), Beyrouth (P, Vt), Hadeth (Np), Nahr Beyrouth (Mt). Mi. Jamhoûr(Mt). Mm. Qnnoubine (Bl). Met. Bords du Bardaouni (JL), Zahlé (P), Qabbélias (Mt), en dessousde Soultan Ya'qoub (P£>). Herm. Rachaya (Aar).","S. A.L. Ouadi-el-Qarn (Pb), Ouadi-el-Qarn à 'Aqbet-et-Tine (Mt), Jab. Ma'loula (Ky),au-dessus de Zebdani (Aar), Bloudane (Ky). Sy. Alep (Lab, Ky, JL). H.J. Jab. 'Abd-el-'Aziz(Pb). J.D. Chahba, Kafer, Soueida (Mt).","Aire géogr. — Turquie sud, Iraq, Syrie, Liban, Palestine.",0
8,0,0,Nigella,arvensis,0,0,0,0,mai,juin, Dékouané (Mt)..,0,"S. Ctlitt. Lattaquié (JL), Ras Chamra (Pb).","Aire géogr. — Palestine, Jaffa, etc. (Bornm, Eig, Zoh), Littoral turc (Soueidié, Mt).Depuis BOISSIER, l'identité paraît admise entre Nigella tuberculata décrite par GMSEBACH et N.arvensis, var. glauca Boiss. Cette Nigella du littoral libanais et syrien a été communément classéesous les deux noms, mais s'écarte apparemment de l'une et de l'autre (même si elles n'étaient pasréellement identiques) par ses anthères mutiques ou presque. Nettement littprale, elle ne correspondsans doute, de toutes façons, pas à la var. glauca d'habitat montagnard et éloigné de la mer.L'identification avec N. divaricata Beaupré, elle-même couramment tenue pour synonyme deglaucescens Guss., paraît encore moins acceptable.Var. caudata Boiss. (PL IV, n. 3). — Feuilles à folioles courts, plans, nonFloraison: juin-août. Champs, vignes, terrains secs.L. Sy. Talia (Mt). St. Sources de l'Oronte (Mt)-S. A.L. Sommets entre Bloudane et Chtaura (P). Dam. Qrahta (Pb).Il faut peut-être y joindre les récoltes classées divaricata trouvées par BOISSIER dans les « mon-tagnes à l'est de Lattaquié», et par HAFSTRÔM entre Qpsseir et Chinchar, qui n'ont pu êtreexaminées. "" >La récolte de POST à l'ouest de Bloudane s'avère, dans le même Herbier, concordante avecdes exemplaires d'Aïntab, locus classicus de cette variété.Var. microcarpa Boiss. — N. cretensis Stev., non N. eretica Mill. ( N. sativaL.) (PI. IV, n. 4). — (D. Plante annuelle, généralement de petite taille, yFloraison: juin-août. Sporadique.L. Mi. Broummana (Cramer, Peyron). Met. Haouch (Mt). Ve. Charbine vers Hermel (Mt).St. Ras Baalbeck à Hermel (Mt). A.L. Ouadi-el-Harir (Peyron, Pb).S. A.L. Jdeîdet-Yabous (Mt), Yabroud, Jab. Ma'loula (Pb).Le classement de cette forme libano-syrienne est quelque peu sujet à caution, cela d'autantplus que cette espèce paraît n'avoir pas été, jusqu'ici, trouvée en Turquie, où elle est remplacéepar une var. tauricola à feuilles pubescentes.Aire géogr. — Crète, Chypre.",0
9,0,0,Nigella,assyriaca,0,0,0,0,mai,juin,Régions sèches.,0,"S. H.J. Lac Khatouniyé, Hassetché, 30 km. S. de Tell 'Alo (Pb). St. Lac Jabboul, Meskène(JL), Soukhné à Deir-ez-Zor (Dlb). Dam. Jab. Dmeir, Damas (Pb). A.L. Jerijir (Eig, Zoh, Feinb).H.J. W. de Tissiyé (Pb), Tell Hadid (Mt), Tell Chihane (E, Z, Mt).Espèce bien proche de deserti et d'arvensis et, semble-t-il, tenue par certains pour non distincted'arvensis, var. caudala. Les spécimens-types de l'Herbier Boissier, absents durant l'été 1967, n'ontpu être étudiés, et le temps a manqué aussi pour examiner le matériel des collections de PABOTet du Frère JOSEPH LOUIS.","Aire géogr. — Haute-Jéziré syrienne, Iraq, Syrie désertique, Hauran, Djebel Druze.",0
